BRAND,BRAND_BELONGS_TO_CATEGORY,RECEIPTS,CATEGORY_ID
CASEYS GEN STORE,Tobacco Products,2950931,4442fa51-d4b7-4d56-ad7c-d18cfd2aff84
CASEYS GEN STORE,Mature,2859240,f81d7064-52da-4bd7-98eb-7a14be267720
EQUATE,Hair Removal,893268,539953fe-50bf-4a00-8a21-c64752d6ed7e
PALMOLIVE,Bath & Body,542562,47fae368-9b64-40be-82c9-898f953e9d66
DAWN,Bath & Body,301844,47fae368-9b64-40be-82c9-898f953e9d66
BARBASOL,Hair Removal,283926,539953fe-50bf-4a00-8a21-c64752d6ed7e
KROGER,Bakery,251276,5f2f147b-f2a2-48ed-bac4-ba1be2df09ec
SKINTIMATE,Hair Removal,227224,539953fe-50bf-4a00-8a21-c64752d6ed7e
DAWN PLATINUM,Bath & Body,143596,47fae368-9b64-40be-82c9-898f953e9d66
KIRKLAND SIGNATURE,Bath & Body,131371,47fae368-9b64-40be-82c9-898f953e9d66
RED BULL,Carbonated Soft Drinks,100808,b3028295-932d-49df-afbc-52dce9cce8c7
COCA-COLA,Carbonated Soft Drinks,97427,b3028295-932d-49df-afbc-52dce9cce8c7
AJAX,Bath & Body,88331,47fae368-9b64-40be-82c9-898f953e9d66
EQUATE,Bath & Body,80505,47fae368-9b64-40be-82c9-898f953e9d66
DR PEPPER,Carbonated Soft Drinks,77880,b3028295-932d-49df-afbc-52dce9cce8c7
BODYCOLOGY,Body Fragrances,75527,04d628dc-8630-4f8e-835f-831cd0aaf036
KINDERS,Dips & Salsa,73657,451e3832-bc4c-4dd3-bbbb-5e33d134a765
BODY FANTASIES,Body Fragrances,73205,04d628dc-8630-4f8e-835f-831cd0aaf036
MOUNTAIN DEW,Carbonated Soft Drinks,68610,b3028295-932d-49df-afbc-52dce9cce8c7
MONSTER,Carbonated Soft Drinks,65880,b3028295-932d-49df-afbc-52dce9cce8c7
UCREATE,Household Supplies,65185,87b8ae7a-5a8b-43f1-a4ee-a1fdb3bc068c
STARBUCKS,Coffee,63028,01edb86e-b0b3-41c9-a756-2914b850157d
GAIN,Bath & Body,59469,47fae368-9b64-40be-82c9-898f953e9d66
Kraft,Prepared Meals,53760,397f9b41-5196-4e19-96e1-e8783201b375
PEPSI,Carbonated Soft Drinks,53604,b3028295-932d-49df-afbc-52dce9cce8c7
LITTLE DEBBIE,Snack Cakes,51259,1b73d119-48ec-4d6b-97df-f93a9b4f1003
UP AND UP,Bath & Body,50136,47fae368-9b64-40be-82c9-898f953e9d66
HERSHEYS,Candy,50098,1e63bbb5-d0b8-4dca-9eb1-121967de8dc8
STAEDTLER,Makeup,49613,de2afc5c-93c3-4c35-bee8-16ca97d1c9f3
MIGHTYGOOD,Bath & Body,49127,47fae368-9b64-40be-82c9-898f953e9d66
DAILYS,Wine,48829,ca1c0f4d-3efc-4978-8357-69862996f416
PUBLIX MALTA,Beer,48266,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c
BIC,Household Supplies,48197,87b8ae7a-5a8b-43f1-a4ee-a1fdb3bc068c
TRUE LIVING,Bath & Body,47074,47fae368-9b64-40be-82c9-898f953e9d66
CHI CHIS,Spirits,47072,2def9983-9d56-4872-a5b9-7aa8bbc2331c
XTRA,Bath & Body,46505,47fae368-9b64-40be-82c9-898f953e9d66
MARKETSIDE,Bakery,43628,5f2f147b-f2a2-48ed-bac4-ba1be2df09ec
LAYS,Chips,42497,c7f51b3a-c2a6-4818-93cf-9cfbd58c2622
CLOROX,Bath & Body,41897,47fae368-9b64-40be-82c9-898f953e9d66
REESES,Candy,41077,1e63bbb5-d0b8-4dca-9eb1-121967de8dc8
KRAFT,Cheese,41039,0619fda2-db1e-42c4-87ef-457ae91fca72
POWERADE,Sports Drinks,40210,bd33436d-a5de-4fd6-90f1-4f1fb4db0189
CVS,Medicines & Treatments,39210,d45c0d30-af85-4eda-b5ed-ae6a38bfeed3
OLD EL PASO,Cooking & Baking,38613,09f3decc-aa93-460d-936c-0ddf06b055a3
CHEETOS,Puffed Snacks,38007,3dcfe6dc-3445-4ba7-b11e-8238a5d41be7
KINDERS,Cooking & Baking,37398,09f3decc-aa93-460d-936c-0ddf06b055a3
M&MS,Candy,37241,1e63bbb5-d0b8-4dca-9eb1-121967de8dc8
CRA-Z-ART,Makeup,36901,de2afc5c-93c3-4c35-bee8-16ca97d1c9f3
MCALISTERS DELI,Prepared Meals,36533,397f9b41-5196-4e19-96e1-e8783201b375
STAR WARS,Bath & Body,35649,47fae368-9b64-40be-82c9-898f953e9d66
GATORADE,Sports Drinks,34829,bd33436d-a5de-4fd6-90f1-4f1fb4db0189
BETTY CROCKER,Cooking & Baking,33210,09f3decc-aa93-460d-936c-0ddf06b055a3
EGGO,Frozen Breakfast,32816,7414fc82-da85-4772-8c52-6067b369b780
FIREBALL,Spirits,32463,2def9983-9d56-4872-a5b9-7aa8bbc2331c
COORS LIGHT,Beer,31672,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c
NATURES OWN,Bread,29534,f1a38ab2-67a0-4863-9802-2b16a181e722
PRINGLES,Chips,29529,c7f51b3a-c2a6-4818-93cf-9cfbd58c2622
TRUELIVING,Bath & Body,29345,47fae368-9b64-40be-82c9-898f953e9d66
LAS TOTALLY AWESOME,Bath & Body,29278,47fae368-9b64-40be-82c9-898f953e9d66
JIF,Nut Butters & Jam,29274,2a2ad3c4-41df-484c-833c-26744a4d9610
GOYA,Cooking & Baking,28252,09f3decc-aa93-460d-936c-0ddf06b055a3
NESTLE DRUMSTICK,Frozen Desserts,28031,38160828-1029-4505-9849-673773c5fad3
TROPICANA,Fruit Juices,27933,87459c51-6dc1-4064-9fb4-51e399187f2c
OLE SMOKY,Spirits,27768,2def9983-9d56-4872-a5b9-7aa8bbc2331c
KELLOGG'S,Frozen Desserts,27702,38160828-1029-4505-9849-673773c5fad3
REXALL,Bath & Body,27446,47fae368-9b64-40be-82c9-898f953e9d66
MICHELOB ULTRA,Beer,27391,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c
BABY SOFT,Baby Bathing,27323,0d566b71-e49a-4b83-a340-25b921e8437f
QUAKER,"Cereal, Granola, & Toaster Pastries",26887,44fbc64b-4a38-4bc7-a80c-d11c821eb3e4
YOPLAIT,Yogurt,26573,e246975c-322e-4e31-aa4b-a22eabe581d1
THOMAS,Bread,26490,f1a38ab2-67a0-4863-9802-2b16a181e722
BARILLA,Dry Pasta,25852,e8d9c191-47c0-46eb-affd-34b08a44ebbc
RUFFLES,Chips,25446,c7f51b3a-c2a6-4818-93cf-9cfbd58c2622
TYSON,Frozen Chicken,25421,3b79dd23-c298-4429-b9bf-ce5803b594eb
GATORADE,Medicines & Treatments,25275,d45c0d30-af85-4eda-b5ed-ae6a38bfeed3
STUDIO SELECTION,Hair Removal,25163,539953fe-50bf-4a00-8a21-c64752d6ed7e
DG HOME,Bath & Body,24832,47fae368-9b64-40be-82c9-898f953e9d66
CORONA,Beer,24581,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c
HEB,Bath & Body,24185,47fae368-9b64-40be-82c9-898f953e9d66
COCA-COLA ZERO,Carbonated Soft Drinks,23955,b3028295-932d-49df-afbc-52dce9cce8c7
SHORTS VARIETY PACK,Beer,23822,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c
SNICKERS,Candy,23740,1e63bbb5-d0b8-4dca-9eb1-121967de8dc8
SARGENTO,Cheese,22912,0619fda2-db1e-42c4-87ef-457ae91fca72
CANADA DRY,Carbonated Soft Drinks,22903,b3028295-932d-49df-afbc-52dce9cce8c7
ARIZONA,Tea,22839,f78c4b56-a1a6-4972-a0b3-6514ad98fd27
BUD LIGHT,Beer,22660,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c
DG BODY,Hair Removal,22407,539953fe-50bf-4a00-8a21-c64752d6ed7e
YUENGLING,Beer,22243,a3ef4899-2bd2-4cac-bb31-a46ef1169c8c
ENTENMANNS,Snack Cakes,21898,1b73d119-48ec-4d6b-97df-f93a9b4f1003
INSTACART,Medicines & Treatments,21745,d45c0d30-af85-4eda-b5ed-ae6a38bfeed3
GREAT VALUE,Household Supplies,21491,87b8ae7a-5a8b-43f1-a4ee-a1fdb3bc068c
MCALISTERS DELI,Leafy Salads,21413,4b618ce0-9a8a-4a1d-aef6-885ee5d37163
TOSTITOS,Chips,21401,c7f51b3a-c2a6-4818-93cf-9cfbd58c2622
SPARKLING ICE,Water,21370,aecbba3a-7958-4b78-8a93-9215b963e9a7
PLANTERS,Nuts & Seeds,21293,e27d28fb-5e48-49b6-9373-3a92246c2f87
DORITOS,Chips,21250,c7f51b3a-c2a6-4818-93cf-9cfbd58c2622
PEPPERIDGE FARM,Bread,21244,f1a38ab2-67a0-4863-9802-2b16a181e722
DOLE,Cooking & Baking,21201,09f3decc-aa93-460d-936c-0ddf06b055a3
PERDUE,Frozen Chicken,21003,3b79dd23-c298-4429-b9bf-ce5803b594eb
JOY,Bath & Body,20950,47fae368-9b64-40be-82c9-898f953e9d66
LA VOSTRA,Wine,20765,ca1c0f4d-3efc-4978-8357-69862996f416
SMART CARE,Household Supplies,20538,87b8ae7a-5a8b-43f1-a4ee-a1fdb3bc068c
