index,OFFER,CATEGORY,UNIQUE_ID
0,"Beyond Meat® Plant-Based products, spend $25",{'Plant-Based Meat'},d8d10d7b247e842ebb6571b6fb006b9be79b2e4b6580b64230c0c9abf0d8ec6c
1,"Beyond Steak™ Plant-Based seared tips, 10 ounce at Target",{'Plant-Based Meat'},3021c456e68cc2a01c281e145f06d1135cd5599c15c4da00bdd1e9b7bb30915b
2,"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at H-E-B",{'Plant-Based Meat'},ff63bcf3bcffa2e446e17a2261b9b5ffce1e4999bf8b7668237641ecee241d85
3,"Beyond Steak™ Plant-Based seared tips, 10 ounce at H-E-B",{'Plant-Based Meat'},c04affd30e6375a968ddd8651af1b07e3b3ff26093a1a9edeb55d50d62906622
4,"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at Target",{'Plant-Based Meat'},d9f5e1b95bef1882aca840107e87ab6fbf9414e926298f53f9d6a19b50d49f83
5,"Beyond Meat® Plant-Based products, spend $15",{'Plant-Based Meat'},793a22ae27f5900c59d55aa008cdc5596f88991cc412d3cd6ca64763e70ca8d0
6,"Beyond Meat® Plant-Based products, spend $20",{'Plant-Based Meat'},ec5302d3c2920f210da63249fd09131d8f9cc1b33534640d43b0435e47dff02b
7,Good Humor Viennetta Frozen Vanilla Cake,{'Frozen Desserts'},f606af68296f7f8a3581b81fcc627bda8d7a011b80ef350e3e6d12e3a80727e0
8,"Reese's Peanut Butter Bar, 6 count, at GIANT OR MARTIN’S",{'Frozen Desserts'},3927015270264742327a0e678eb4dff7e43c0a337ca69867dd6d55ec4b1290a2
9,"Butterball, select varieties, spend $10 at Dillons Food Store","{'Nut Butters & Jam', 'Frozen Turkey'}",c2363f43f91a25ceaa5d03e579f297438d55f0750f03768934927edd9bb7eb68
10,"Butterball, select varieties, spend $10 at Ralphs","{'Nut Butters & Jam', 'Frozen Turkey'}",7adba79df1175b2518584f570372a4491f849e7f42303323267b862af9573f92
11,"Butterball, select varieties, Spend $10 at Ruler Foods","{'Nut Butters & Jam', 'Frozen Turkey'}",0843e02e9b9da418accf322c50215d14519f1791b78f21c907186087afaffa9a
12,"Butterball, select varieties, spend $10 at King Soopers","{'Nut Butters & Jam', 'Frozen Turkey'}",93afbc01a151782578aff0bacef2c6903ce2eada12f71f77474c0c317741890f
13,"Butterball, select varieties, spend $10 at Fred Meyer","{'Nut Butters & Jam', 'Frozen Turkey'}",dd48bac4058667a071cfc6023712d231cc04bf4d5337e4c54749ea308dd3d0ea
14,"Butterball, select varieties, spend $10 at Kroger","{'Nut Butters & Jam', 'Frozen Turkey'}",1a63e1d0601a16151feda29cb20964ca444fcaf70d347824af547623c82272df
15,"Butterball, select varieties, spend $10 at Smith's","{'Nut Butters & Jam', 'Frozen Turkey'}",8a5787820fe5c48ee3585e3c32ba762241433dc80b851fe2c276ec8527201b0c
16,"Butterball, select varieties, spend $10 at Food 4 Less","{'Nut Butters & Jam', 'Frozen Turkey'}",27776c630d003f1fa71358183030c077414849f367a36665de948029b8ce46cc
